command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
name,只不过那时候，陈长官可以一人处理一支松散的整合运动小队......,阿米娅,0,,,,,,,ただ当時は、チェン長官が一人でバラバラのレユニオン小隊を対処できました……,アーミヤ
name,但现在的形势已经完全不同了。,阿米娅,0,,,,,,,けれど、今の状況はまったく違っています。,アーミヤ
name,那时我们还只是单纯的合作关系。我只是刚刚开始了解陈长官是怎样的一个人......,阿米娅,0,,,,,,,その時はまだ私たちは単なる協力関係でした。私はようやくチェン長官という人を知り始めたばかりでした……,アーミヤ
name,但这里已经是......,阿米娅,0,,,,,,,でもここはもう……,アーミヤ
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
character,,avg_npc_057,0,,,,,,,,
delay,,,0,,,,,,,,
character,,char_002_amiya_1,0,,,,,,,,
name,那是......平民？,阿米娅,0,,,,,,,あれは……民間人でしょうか？,アーミヤ
playmusic,,,0,,,,,,,,
character,,avg_npc_012,0,,,,,,,,
name,......哪里出来的？我们居然没找到他们的藏身处......,罗德岛干员,0,,,,,,,……どこから出てきた？俺たちはまさか彼らの隠れ場所を見つけられなかったのか……,ロドスオペレーター
character,,avg_npc_057,0,,,,,,,,
name,这里是乌萨斯人的坟场！,？？？,0,,,,,,,ここはウルサス人の墓場だ！,？？？
character,,char_002_amiya_1#7,0,,,,,,,,
name,！,阿米娅,0,,,,,,,！,アーミヤ
name,（保持戒备......但别攻击！）,阿米娅,0,,,,,,,（警戒を維持して……でも攻撃しないでください！）,アーミヤ
character,,char_002_amiya_1,0,,,,,,,,
name,我们是中立的感染者查验组织！女士，我们是本着为你们提供救助的原则进入这座城市的！,阿米娅,0,,,,,,,私たちは中立な感染者検査組織です！ご婦人、私たちは皆さんに救助を提供するためにこの都市へ入りました！,アーミヤ
name,作为普通感染者，我们对你没有敌意——,阿米娅,0,,,,,,,普通の感染者として、私たちはあなたに敵意はありません——,アーミヤ
character,,char_002_amiya_1,0,,,2,,,avg_npc_057,,
name,感染者？呿，我是乌萨斯人！,？？？,0,,,,,,,感染者？フン、私はウルサス人だ！,？？？
name,救助感染者......？！哈，笑话......你们感染者对我们做了什么，你们自己难道不清楚吗？,乌萨斯感染者,0,,,,,,,感染者を救助する……？！はっ、冗談だ……お前たち感染者が私たちに何をしたか、自分たちで分かっているだろう？,ウルサス感染者
character,,char_002_amiya_1#4,0,,,1,,,avg_npc_057,,
name,......,阿米娅,0,,,,,,,……,
name,女士，如果你感到不安全，我们就保持现在这个距离。二十米的距离。我们不会再移动。,阿米娅,0,,,,,,,ご婦人、もしご不安なら、私たちはこれ以上近寄りません。この二十メートルの距離を保ちます。私たちはこれ以上動きません。,アーミヤ
character,,char_002_amiya_1#4,0,,,2,,,avg_npc_057,,
name,不，不对，我也是感染者了。我骂不了你，是不是？,乌萨斯感染者,0,,,,,,,いや、違う、私も感染者になったんだ。もうお前を罵れないんだよな？,ウルサス感染者
name,你们还救助感染者？！呵呵，呵呵呵......所有感染者都该死！,乌萨斯感染者,0,,,,,,,お前たちはまだ感染者を救うというのか？！ふふ、ふふふ……感染者なんてみんな死ねばいい！,ウルサス感染者
name,我也该死。我也该死！没有感染者，我根本不会染病！,乌萨斯感染者,0,,,,,,,私も死ぬべきだ。私も死ぬべきだ！感染者がいなければ、私は病気にならなかったのに！,ウルサス感染者
name,想着害人，想着报复......感染者就是这样吗？！我也该这样吗？！,乌萨斯感染者,0,,,,,,,人を害し、復讐を考えて……感染者ってそういうものか？！私もそうなるべきなのか？！,ウルサス感染者
character,,avg_npc_042,0,,,1,,,char_002_amiya_1#4,,
name,......,迷迭香,0,,,,,,,……,
name,（阿米娅，安抚她，好吗？）,迷迭香,0,,,,,,,（アーミヤ、彼女を慰めてくれない？）,ローズマリー
character,,avg_npc_042,0,,,2,,,char_002_amiya_1#4,,
name,（不，现在不好。）,阿米娅,0,,,,,,,（いいえ、今は駄目です。）,アーミヤ
name,（......让她先发泄吧。一个月来所有的惨痛回忆都刺在她的意识里。）,阿米娅,0,,,,,,,（……今は彼女に発散させてあげてください。この一か月間の全ての痛ましい記憶が彼女の意識に突き刺さっています。）,アーミヤ
name,（现在也是她......直面这些事，把这些事都拔出来的机会。）,阿米娅,0,,,,,,,（今も、彼女にとってこれらに向き合い、全てを吐き出す良い機会です。）,アーミヤ
character,,avg_npc_057,0,,,,,,,,
name,......,乌萨斯感染者,0,,,,,,,……,
name,你知道这里有什么吗，感染者？,乌萨斯感染者,0,,,,,,,お前はここに何があるか分かるか、感染者？,ウルサス感染者
name,和你一样的感染者，活的感染者还有死的感染者。,乌萨斯感染者,0,,,,,,,お前と同じ感染者、生きている感染者も死んだ感染者もいる。,ウルサス感染者
name,因为整合运动只能在这里苟延残喘的感染者，因为整合运动死在这里的无数感染者......,乌萨斯感染者,0,,,,,,,レユニオンのせいでここでなんとか生き永らえている感染者も、レユニオンによってここで命を落とした数えきれない感染者も……,ウルサス感染者
name,但我们之前没有人感染。,乌萨斯感染者,0,,,,,,,でも以前は誰も感染していなかったんだ。,ウルサス感染者
name,切尔诺伯格的市民，被他们四处驱赶，四处找出来！最开始是屠杀，然后是折磨，最后是像丢垃圾一样随意处置活下来的人！,乌萨斯感染者,0,,,,,,,チェルノボーグの市民が彼らによって追い立てられ、あちらこちらで見つけ出される！最初は虐殺、それから拷問、最後はゴミのように生き残った人を放り捨てる！,ウルサス感染者
name,不知道多少人缺衣少食，死在这里......,乌萨斯感染者,0,,,,,,,どれだけ多くの人が衣服も食べ物もなく、ここで死んでいったか……,ウルサス感染者
name,活下来的，也因为不断接触源石，全都感染了！到现在，我已经没看见任何还没被感染者的人！,乌萨斯感染者,0,,,,,,,生き残った者たちも、源石にずっと触れていたせいで、全員が感染した！今では、まだ感染していない人を見かけなくなった！,ウルサス感染者
name,你们感染者......,乌萨斯感染者,0,,,,,,,お前たち感染者は……,ウルサス感染者
name,你们感染者！！,乌萨斯感染者,0,,,,,,,お前たち感染者！！,ウルサス感染者
character,,char_002_amiya_1#4,0,,,1,,,avg_npc_057,,
name,相信我们......不用带我们去救治其他人。我们会把必要的医疗援助交给你们。之后，我们立刻就离开。,阿米娅,0,,,,,,,私たちを信じてください……他の人たちの救助に連れて行ってくれなくて大丈夫です。必要な医療支援はあなたたちに渡します。その後、すぐにここを離れます。,アーミヤ
character,,char_002_amiya_1#4,0,,,2,,,avg_npc_057,,
name,......,乌萨斯感染者,0,,,,,,,……,
name,我不信。,乌萨斯感染者,0,,,,,,,信じない。,ウルサス感染者
name,你们是乌萨斯派的，还是龙门派来的？,乌萨斯感染者,0,,,,,,,お前たちはウルサスの派閥か、それともロンメンの派閥か？,ウルサス感染者
character,,,0,,,,,,,,
dialog,,,0,,,,,,,,
name,如果真的是他们，我们应该都已经死了。,？？？,0,,,,,,,もし本当に彼らなら、俺たちはもう全員死んでいるはずだ。,？？？
character,,char_002_amiya_1#6,0,,,,,,,,
name,——,阿米娅,0,,,,,,,——,アーミヤ
name,你是......！,阿米娅,0,,,,,,,あなたは……！,アーミヤ
character,,char_003_kalts_1,0,,,,,,,,
name,阿米娅。扫一下他的识别码。,凯尔希,0,,,,,,,アーミヤ。彼の識別コードをスキャンしろ。,ケルシー
character,,char_002_amiya_1#6,0,,,,,,,,
name,医生......？！,阿米娅,0,,,,,,,ドクター……？！,アーミヤ
image,,,0,,,,,,,,
dialog,,,0,,,,,,,,
blocker,,,0,,,,,,,,
playsound,,,0,,,,,,,,
image,,,0,,,,avg_7_12,,,,
imagetween,,,0,,,,,,,,
blocker,,,0,,,,,,,,
name,......,？？？,0,,,,,,,……,
name,Guard，解释一下。,凯尔希,0,,,,,,,ガード、説明しなさい。,ケルシー
name,许久不见，阿米娅，凯尔希医生。,罗德岛近卫干员？,0,,,,,,,お久しぶりです、アーミヤ、ケルシー博士。,ロドス近衛オペレーター？
name,以及，博士。,罗德岛近卫干员？,0,,,,,,,そして、ドクター。,ロドス近衛オペレーター？
dialog,,,0,,,,,,,,
blocker,,,0,,,,,,,,
image,,,0,,,,,,,,
