command,text,name,focus,image,name2,jp_text,jp_name
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,对感染者的清洗总会发生，整合运动只是会加速龙门的这个过程。,？？？,,,,感染者の排除はいつか必ず起きる。レユニオンはその流れを早めただけだ。,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,你看得还挺清楚的。,整合运动成员,,,,よく分かってるな。,レユニオン構成員
name,也是。你说的没错。我的故乡，一座挺偏远的小城市，原本对感染者还算不错。,整合运动成员,,,,そうだな。君の言う通りだ。故郷は結構へんぴな小さい町だったけど、感染者にはまだ優しい方だった。,レユニオン構成員
name,统治我们的贵族有个感染者女儿，在他的自治领里面，我们感染者能在隔离区里正常生活，矿役也不算特别重。,整合运动成员,,,,俺たちを治める貴族には感染者の娘がいた。その領地では隔離区で普通に生活できて、鉱山の労働もそこまできつくなかった。,レユニオン構成員
name,非患者对我们也没多好，但至少也会和我们进行交易，做点小买卖什么的，偶尔还能蹲在墙边一起喝点酒。,整合运动成员,,,,非感染者も俺たちに特別親切だったわけじゃないが、商売はできたし、ときどき壁際で一緒に酒を飲むこともあった。,レユニオン構成員
name,过了几年以后，好像是因为带兵打输了，伯爵被带走，新的市长上任了。,整合运动成员,,,,数年経った後、戦で負けた伯爵が連れ去られて、新しい市長がやってきた。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,“大叛乱”？,？？？,,,,「大反乱」？,？？？
name,如果是那段时间，被削爵是很正常的事情。,？？？,,,,その時期なら、爵位を剥奪されるのも珍しくないことだ。,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,可能是吧，政治之类我不懂，都是后来有一句没一句的听来的。,整合运动成员,,,,たぶんそうだろうな。政治のことはよくわからないし、あとで何となく聞いただけだ。,レユニオン構成員
name,他们说有的地方有感染者信使，但乌萨斯肯定没有，我们什么事都不知道。,整合运动成员,,,,感染者の伝令がいる都市もあるらしいが、ウルサスには絶対いなかった。俺たちは何も知らなかった。,レユニオン構成員
name,起初大家还像以前一样过着日子，只是偶尔觉得氛围很沉重，食品供应商那的进货也越来越少。,整合运动成员,,,,初めのうちは昔と同じように生活してた。ただ、たまに重苦しい雰囲気になったり、食品業者が仕入れてくる物資がどんどん少なくなったりしてたな。,レユニオン構成員
name,慢慢地，气氛不大对了。物资短缺的时候，非患者开始向我们丢石头，身边也不断有感染者失踪。,整合运动成员,,,,だんだんと空気がおかしくなってきて、物資が不足すると非感染者が俺たちに石を投げてきたり、身の回りで感染者が消えたりした。,レユニオン構成員
name,十几场市政厅演说过后，已经没人提他贪污拨款和私自改造下城区的事了。,整合运动成员,,,,何度か市庁舎で演説が行われて、彼が資金を横領した話や下町を勝手に改造したって話は誰も口にしなくなった。,レユニオン構成員
name,哼，这事我们感染者都知道，普通市民真能一点都不知道？,整合运动成员,,,,ふん、そんなこと感染者の俺たちが知らないわけないだろう。普通の市民だって知らないはずがない。,レユニオン構成員
name,在隔离墙的边上，我们也能听见“除掉感染者，净化城市”之类的口号了。向隔离区里面这么喊的。,整合运动成员,,,,隔離壁のそばでは「感染者を排除し、都市を浄化しろ」ってスローガンが聞こえるようになった。隔離区の中に向けて叫ばれてたんだ。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,你们成了他私欲的牺牲品。,？？？,,,,君たちは彼の私利私欲の犠牲になった。,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,物尽其用嘛，反正我们不一直都是牺牲品吗？就算我说之前我们城待感染者不错，其实也就好过那么几十年而已。,整合运动成员,,,,使えるものは使うだけさ。どうせ、俺たちはずっと犠牲者だったよ。前に俺の町が感染者に優しかったって言っても、結局はその数十年が良かっただけだ。,レユニオン構成員
name,后面的事就很简单了，大多数感染者都被杀了。我们逃到荒野里，没吃没喝，又死了一大半。,整合运动成员,,,,そのあとは簡単さ。大勢の感染者が殺されて、俺たちは荒野に逃げたが、食糧も水もなくてさらにたくさん死んだ。,レユニオン構成員
name,这回在龙门，再死了一批。我的同乡已经死完了。,整合运动成员,,,,今度は龍門でまた死者が出た。俺の同郷はもう全滅だ。,レユニオン構成員
name,所以你说的对。这种事总会发生，感染者就是没地方能活。之所以还抱侥幸心理，都是因为事情没发生在眼前。,整合运动成员,,,,だから、君の言う通りだ。こんなことは必ず起きる。感染者はどこにも生きられない。希望を持ってたのは、それが自分の身に起きていなかったからだよ。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,你和我说这些做什么？,？？？,,,,なぜ俺にそんなことを話す？,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,觉得自己没多少时间可活了啊。你会不会那种无痛的杀人方法？,整合运动成员,,,,もう長くは生きられそうにないからさ。お前、痛みのない殺し方は知ってるか？,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,......你在说什么？,？？？,,,,……何を言ってるんだ？,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,嗯？,整合运动成员,,,,ん？,レユニオン構成員
name,啊......,整合运动成员,,,,ああ……,レユニオン構成員
name,对不起？我可能会错意了。,整合运动成员,,,,すまん、俺が勘違いしたかもしれない。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,龙门人依然会痛恨你们，你们入侵了我们的城邦。,？？？,,,,龍門の人々はお前たちを憎み続けるだろう。お前たちは俺たちの都市国家を侵略したからな。,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,是啊。可感染者哪有城邦呢？,整合运动成员,,,,そうだな。でも感染者に都市国家なんてないからな。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,......,？？？,,,,……,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,咦？起火了？,整合运动成员,,,,え？火事か？,レユニオン構成員
name,哎，别扯我......你说一声，我会给你让开窗户前的位置啊，用不着那么暴力吧。,整合运动成员,,,,おい、引っ張るなよ……一声言ってくれれば窓際を譲るのに、そんなに乱暴にしなくてもいいだろ。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,火势蔓延得很迅速。奇怪，这不像是自然滋生的火灾。,？？？,,,,火の広がりがとても早い。おかしい、これは自然発生の火事とは思えない。,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,为啥？,整合运动成员,,,,なんで？,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,它没有像“真正的火”那样蔓延。,？？？,,,,「本当の火」のようには広がっていないから。,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,那我们赶紧撤离吧，谁知道接下来这里会变成什么样。,整合运动成员,,,,それなら急いでここから出ようぜ。これからどうなるか分かったもんじゃない。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,去哪里？,？？？,,,,どこへ？,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,看情况。那个，你要不要和我们走？你们龙门人离开故乡也有点难受吧。但你可以和我们一起离开。,整合运动成员,,,,状況次第だな。なあ、お前も一緒に来るか？龍門の奴だって、故郷を離れるのはつらいだろ？でも、俺たちと一緒に離れてもいいぞ。,レユニオン構成員
character,,char_1002_nsabr_1,2,,avg_npc_043_1,,
name,我要不要和你们走？,？？？,,,,俺も一緒に行くべきか？,？？？
character,,char_1002_nsabr_1,1,,avg_npc_043_1,,
name,对啊。没事，我就问问，不愿意就算了。,整合运动成员,,,,そうだよ。まあ、ただ聞いただけだ。嫌なら気にしなくていい。,レユニオン構成員
character,,avg_npc_043_1,,,,,
name,......我考虑一下。,？？？,,,,……少し考えさせてくれ。,？？？
name,不过，故乡......,？？？,,,,でも、故郷って……,？？？
name,哪里才是故乡？,？？？,,,,どこが本当の故郷なんだ？,？？？
delay,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
image,,,,,,,
