command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,block,image,fadetime,time,name,name2,focus,Delay,duration,xstrength,ystrength,vibrato,randomness,afrom,rfrom,gfrom,bfrom,width,height,initr,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,fadeout,screenadapt,index,text,jp_text,jp_name,text_match
name,你也感觉到了！她......再这样下去，整个救援队都会葬送在这里！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,你也感觉到了！她......再这样下去，整个救援队都会葬送在这里！,お前も感じただろう！彼女がこのままだと、救助隊全員がここで倒れるぞ！,リュウコウ,True
name,那个塔露拉......,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,那个塔露拉......,あのタルラは……,リュウコウ,True
name,她是活生生的怪物！阿米娅！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,她是活生生的怪物！阿米娅！,あいつは生きている怪物だ！アーミヤ！,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#7,char_148_nearl_1#3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
name,我们一起战斗的话，不会有问题的！,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,我们一起战斗的话，不会有问题的！,一緒に戦えば、きっと大丈夫です！,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#7,char_148_nearl_1#3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
name,那博士呢？你能保证博士的安全吗？,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,那博士呢？你能保证博士的安全吗？,じゃあドクターはどうする？ドクターの安全を保証できるのか？,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#4,char_148_nearl_1#3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,......唔......,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,......唔......,……うぅ……,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,E4小队，我们留在这里断后！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,E4小队，我们留在这里断后！,E4小隊、ここで殿を務めるぞ！,リュウコウ,True
name,一定要让阿米娅和博士，以及各个医疗小组安全撤离！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,一定要让阿米娅和博士，以及各个医疗小组安全撤离！,必ずアーミヤとドクター、それに各医療班を安全に撤退させろ！,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
name,不，交给我和我的小队吧。,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,不，交给我和我的小队吧。,いや、俺と俺の部隊に任せてくれ。,エース,True
character,,,,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1#3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,False
name,Ace！现在难道是说这种话的时候吗！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Ace！现在难道是说这种话的时候吗！,エース！今そんなことを言っている場合か！,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1#3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
name,我很冷静。,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,我很冷静。,俺は冷静だ。,エース,True
character,,,,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1#3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
name,你难道没看到吗，她周围的东西，都在融化！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,你难道没看到吗，她周围的东西，都在融化！,見ていないのか、彼女の周りのものが全部溶けてるぞ！,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
name,我不会留下你们独自战斗的。,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,我不会留下你们独自战斗的。,皆さんを独りで戦わせるなんて、できません。,アーミヤ,True
name,罗德岛......绝不会丢下你们的！,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,罗德岛......绝不会丢下你们的！,ロドスは……絶対に皆さんを見捨てたりしません！,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
name,阿米娅，时间宝贵！你必须撤退！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,阿米娅，时间宝贵！你必须撤退！,アーミヤ、時間がない！撤退しろ！,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
name,——你应该信任我们。,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,——你应该信任我们。,――俺たちを信じるんだ。,エース,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
name,我不能看着罗德岛的任何一个人牺牲！,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,我不能看着罗德岛的任何一个人牺牲！,ロドスの誰一人として犠牲になるところなんて、見ていられません！,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
name,想想任务目标，想想我们的目的！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,想想任务目标，想想我们的目的！,任務目標と私たちの目的を思い出せ！,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
name,不是说这个的时候！,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,不是说这个的时候！,今はそんなことを言っている場合ではありません！,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
name,——,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,——,――,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
playsound,,$d_gen_thunders_amb,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
playsound,,$b_char_defboost,,,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
playsound,,$d_gen_thunders_amb,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,False
playsound,,$flashback,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,,,0.5,10,12,10,20,,,,,,,,,,,,,,,,,,,,,,52,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,53,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,54,,,,False
blocker,,,,,,,,,0.1,1,0.4,0.1,true,,0.2,,,,,,,,,,,1,1,0.4,0.4,,,,,,,,,,,,,,,,,,55,,,,False
blocker,,,,,,,,,0.1,0,0,0,true,,0.3,,,,,,,,,,,0.8,1,1,1,,,,,,,,,,,,,,,,,,56,,,,False
blocker,,,,,,,,,1,0,0,0,true,,0.3,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,57,,,,False
blocker,,,,,,,,,0,,,,true,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,——？热量......在......她手里......聚集？,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,——？热量......在......她手里......聚集？,――？熱が……彼女の手に……集まっている？,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,她周身的景象......扭曲了？,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,她周身的景象......扭曲了？,彼女の周りの景色が……歪んでる？,近衛オペレーター,True
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,不，那是她......加热了周围的空气！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,不，那是她......加热了周围的空气！,違う、それは彼女が……周囲の空気を加熱しているんだ！,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
name,小心，她将要使用的法术......,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,小心，她将要使用的法术......,気をつけて、彼女が使おうとしている術式は……,アーミヤ,True
name,不对......不对！临光！！快回来！！,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,不对......不对！临光！！快回来！！,違います……違います！リュウコウさん！！戻ってきてください！！,アーミヤ,True
name,那不是......那个法术会把你——,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,那不是......那个法术会把你——,それは……その術式だとあなたが――,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
blocker,,,,,,,,,1,0,0,0,true,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,False
background,,,,,,,,,,,,,,bg_cher_7,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,72,,,,False
blocker,,,,,,,,,0,,,,true,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
character,,,,,,,,,,,,,true,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
name,——安静。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,——安静。,――静かに。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
character,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
name,呜呃......！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,呜呃......！,うぐっ……！,リュウコウ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
character,,,,,,,,,,,,,true,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,False
playsound,,$d_gen_thunders_amb,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,False
playsound,,$b_char_defboost,,,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
playsound,,$d_gen_thunders_amb,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,False
playsound,,$flashback,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,,,0.5,10,12,30,90,,,,,,,,,,,,,,,,,,,,,,87,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,88,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,89,,,,False
blocker,,,,,,,,,0.1,1,0.4,0.1,true,,0.2,,,,,,,,,,,1,1,0.4,0.4,,,,,,,,,,,,,,,,,,90,,,,False
blocker,,,,,,,,,0.1,0,0,0,true,,0.3,,,,,,,,,,,0.8,1,1,1,,,,,,,,,,,,,,,,,,91,,,,False
blocker,,,,,,,,,0.1,0,0,0,true,,0.3,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,92,,,,False
blocker,,,,,,,,,0.1,,,,false,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
delay,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
name,哈，哈......,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,哈，哈......,はぁ、はぁ……,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
name,临光！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,临光！,リュウコウ！,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,False
name,咳......退后！我不要紧......,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,咳......退后！我不要紧......,げほっ……下がれ！私は大丈夫だ……,リュウコウ,True
name,只不过是......有点烫而已......,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,只不过是......有点烫而已......,ただ……少し熱いだけだ……,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
name,说什么......不要紧？,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,说什么......不要紧？,何を言ってる……大丈夫じゃないだろ？,ドーベルマン,True
name,全身的铠甲没有一块是完好的，究竟哪里不要紧了？！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,全身的铠甲没有一块是完好的，究竟哪里不要紧了？！,鎧が全部壊れてるのに、どこが大丈夫なんだ？！,ドーベルマン,True
name,你不能再与她战斗了！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,你不能再与她战斗了！,もう彼女とは戦えないぞ！,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
name,我说了——退后！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,我说了——退后！,言っただろ――下がれ！,リュウコウ,True
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
name,临光！你这倔脾气......！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,临光！你这倔脾气......！,リュウコウ！お前は本当に頑固だな……！,ドーベルマン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
character,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,False
character,,,,,,,,,,,,,true,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,False
name,——哦？,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
character,,,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
name,蹲下！,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
playsound,,$d_gen_thunders_amb,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
playsound,,$b_char_defboost,,,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,False
playsound,,$d_gen_thunders_amb,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
playsound,,$flashback,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,,,0.5,10,12,30,90,,,,,,,,,,,,,,,,,,,,,,122,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,123,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,124,,,,False
blocker,,,,,,,,,0.1,1,0.4,0.1,true,,0.2,,,,,,,,,,,1,1,0.4,0.4,,,,,,,,,,,,,,,,,,125,,,,False
blocker,,,,,,,,,0.1,0,0,0,true,,0.3,,,,,,,,,,,0.8,1,1,1,,,,,,,,,,,,,,,,,,126,,,,False
blocker,,,,,,,,,0.1,0,0,0,true,,0.3,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,127,,,,False
blocker,,,,,,,,,0.1,,,,false,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
delay,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
name,咳，咳......又是什么把戏！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_014_riope,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
name,......不可见的火扫过了我们的头顶。,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
name,后撤。整个街区都在融化......,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
name,别做无谓的牺牲！,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_014_riope,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
name,......,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
name,我是在和什么东西战斗？,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_014_riope,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
name,必须干扰她施术的过程......,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
name,狙击干员！瞄准目标敌人！,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
blocker,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,False
background,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,False
character,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,False
name,——,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
name,反抗会为大地带去希望。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
name,但反抗，改变不了你们的命运。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,False
character,,,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
name,射击！！,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,False
blocker,,,,,,,,,1,0,0,0,true,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,False
blocker,,,,,,,,,0,0,0,0,true,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,False
character,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,False
name,切尔诺伯格已得解放。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,False
name,我们的工作已经完成，而我对你们产生了些许兴趣。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,False
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,False
name,什么——,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
character,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,False
name,不过，也就仅此而已。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,False
name,你们做出了错误的选择。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,False
name,罗德岛，你们该真正站在感染者这边。,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,False
character,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,False
playsound,,$d_gen_thunders_amb,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,False
playsound,,$b_char_defboost,,,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,False
playsound,,$d_gen_thunders_amb,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,False
playsound,,$flashback,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,,,0.5,10,12,30,90,,,,,,,,,,,,,,,,,,,,,,173,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,174,,,,False
blocker,,,,,,,,,0.3,1,0.4,0.4,true,,0.1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,175,,,,False
blocker,,,,,,,,,0.1,1,0.4,0.1,true,,0.2,,,,,,,,,,,1,1,0.4,0.4,,,,,,,,,,,,,,,,,,176,,,,False
